Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Сухановка;42.72;131.12;98730;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Сухой Ручей;51.81;106.02;93464;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Сысоевка;44.21;133.34;97630;96-030;Сибирцево - Новочугуевка;Приморский край;Яковлевский район;Дальневосточная;Владивостокский;;
Сюльбан;56.47;116.87;90436;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Тайдут;51.64;111.42;94122;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;4;обгонный пункт
Такое;47.56;142.64;99151;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Таксимо;56.36;114.83;90440;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;2;грузовая  
Таку;56.39;116.42;90438;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Таланджа;49.46;131.57;91803;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Талдан;53.69;124.82;95220;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Свободненский регион;3;грузовая 
Талиджак;50.87;134.24;91851;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Таловка;52.11;107.14;93500;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Талума;56.56;121.89;90477;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Тальцы;51.85;107.78;93760;92-005;Заудинский - Петровский Завод;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;1;грузовая 
Тангомен;53.46;129.89;91571;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Танхой;51.55;105.11;93422;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;4;обгонный пункт
Таптугары;53.69;120.06;95090;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;промежуточная 
Таракановка;52.07;106.96;93492;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Тарбагатай;51.18;109.10;94040;94-001;Петровский Завод - Карымская;Забайкальский край;Петровск-Забайкальский район;Забайкальская;Читинский регион;4;промежуточная 
Тарманчукан;49.19;130.66;96100;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;;
Тарская;51.63;114.50;94314;94-002;Карымская - Куэнга;Забайкальский край;Карымский район;Забайкальская;Читинский регион;4;обгонный пункт
Татакан;49.35;130.16;96070;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;;
Татаурово;52.14;107.43;93520;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Таулан ;50.43;142.71;99732;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Тахтамыгда;54.11;123.61;95150;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;промежуточная 
Тейсин;50.02;136.44;96501;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Комсомольский ;;
Текан;54.04;121.78;95122;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;3;железнодорожная 
Тельная;51.73;105.93;93461;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Темная;53.40;118.52;95051;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;5;остановочный пункт
Темная Падь;51.74;103.78;93324;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Слюдянский район;Восточно-Сибирская;Улан-Удэнский;;
Тёплое Озеро;49.00;131.88;96210;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Тигровый (рзд);43.18;132.88;98363;96-053;Смоляниново - Пост 132 км;Приморский край;Партизанский район;Дальневосточная;Владивостокский;;
Тимлюй;52.00;106.62;93480;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;3;промежуточная
Тихая ;48.02;142.50;99510;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Тиховодное;44.44;132.57;97451;96-024;Хабаровск I - Сибирцево;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Тихоречное;44.19;133.03;97600;96-030;Сибирцево - Новочугуевка;Приморский край;Анучинский район;Дальневосточная;Владивостокский;;
Токи;49.12;140.32;96752;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Тола;50.66;128.82;95521;94-005;Белогорск - Архара;Амурская область;Ромненский район;Забайкальская;Свободненский регион;3;железнодорожная 
Толбазиха;51.45;104.69;93402;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Томари ;47.75;142.05;99460;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Томичи;50.78;128.24;95420;94-018;Белогорск - Благовещенск;Амурская область;Белогорский район;Забайкальская;Свободненский регион;5;промежуточная 
Травяная;48.16;142.53;99512;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Третья Падь;46.70;142.74;99002;96-062;Корсаков-Южно-Сахалинск; Сахалинская область;ГО Корсаков;Дальневосточная;Сахалинский;;
Троицкий;44.81;132.01;97531;96-031;Сибирцево - Платоновка;Приморский край;Ханкайский район;Дальневосточная;Владивостокский;;
Троицкое;52.16;107.17;93501;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;;
Ту;52.47;126.97;95301;94-004;Бамовская - Белогорск;Амурская область;Шимановский район;Забайкальская;Свободненский регион;4;обгонный пункт
Тудур;50.33;137.73;96602;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Тулучи;49.89;139.94;96680;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Туманово-Сахалинское ;48.72;142.84;99560;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Тумнин;49.67;140.10;96700;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Тунгала;53.55;129.45;91550;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Тунгусский;48.55;134.56;96351;96-015;Волочаевка  - Дежневка;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Тур;50.19;129.34;95543;94-005;Белогорск - Архара;Амурская область;Завитинский район;Забайкальская;Свободненский регион;4;обгонный пункт
Тургутуй;51.84;112.64;94141;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;4;обгонный пункт
Туринская;51.63;114.09;94302;94-001;Петровский Завод - Карымская;Забайкальский край;Карымский район;Забайкальская;Читинский регион;4;обгонный пункт
Тутаул;55.02;127.46;91280;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Туюн;51.36;132.07;91673;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Тыгда;53.11;126.33;95270;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;3;грузовая 
Тымерсоль;53.60;126.09;95252;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;5;остановочный пункт
Тымовск ;50.84;142.68;99750;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Тында;55.14;124.74;91000;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;0;внеклассная 
Тында;55.14;124.74;91000;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;0;внеклассная 
Тырма;50.03;132.15;91770;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Тыя ;55.76;109.27;90312;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Тюкан;49.96;129.62;95631;94-005;Белогорск - Архара;Амурская область;Бурейский район;Забайкальская;Свободненский регион;4;обгонный пункт
Убукун;51.50;106.85;93606;92-009;Заудинский - Наушки;Забайкальский край;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;5;разъезд
Угледарск;48.41;142.70;99541;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Угловая;43.34;132.11;98220;96-052;Угловая - Смоляниново;Приморский край;ГО Артем;Дальневосточная;Владивостокский;;
Угольная;43.30;132.06;98210;96-039;Барановский - Угольная;Приморский край;ГО Артем;Дальневосточная;Владивостокский;;
Угольная;43.30;132.06;98210;96-040;Угольная - Владивосток;Приморский край;ГО Артем;Дальневосточная;Владивостокский;;
Ударный;48.99;131.13;96141;96-011;Архара - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Удоми;50.19;138.74;96641;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Украина;50.99;128.42;95411;94-004;Бамовская - Белогорск;Амурская область;Серышевский район;Забайкальская;Свободненский регион;4;железнодорожная 
Уктур;50.34;138.45;96630;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Укурей;52.35;117.02;94883;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Читинский регион;5;обгонный пункт
Улагир;53.68;129.14;91452;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Улак;54.70;128.47;91310;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Улан-Удэ;51.84;107.58;93550;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;;
Улан-Удэ;51.84;107.58;93550;92-003;Улан-Удэ - Заудинский;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;0;внеклассная 
Улей;52.65;117.15;94912;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Читинский регион;5;остановочный пункт
Улетуй;49.57;129.95;95702;94-005;Белогорск - Архара;Амурская область;Архаринский район;Забайкальская;Свободненский регион;3;железнодорожная 
Ульги;56.24;114.09;90602;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Ульма;51.53;131.37;91643;96-006;Бестужево - Новый Ургал;Амурская область;Мазановский район;Дальневосточная;Комсомольский ;;
Ульручьи;53.84;124.21;95213;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Свободненский регион;3;железнодорожная 
Ульякан;53.16;117.93;95032;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Могочинский регион;5;обгонный пункт
Ульяновский Строитель;54.12;128.99;91323;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Улягир;54.04;123.27;95141;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;5;обгонный пункт
Улятка;54.04;122.50;95133;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;3;железнодорожная 
Унаха;55.15;126.59;91190;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Ургал 1;51.08;132.75;91735;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Урил;49.23;130.48;96090;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;;
Уркальту;50.93;134.40;91852;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Уркан;53.79;124.47;95216;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Свободненский регион;3;железнодорожная 
Урожайная-Сахалинская;47.71;142.01;99451;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Урульга;51.76;114.79;94750;94-002;Карымская - Куэнга;Забайкальский край;Карымский район;Забайкальская;Читинский регион;4;промежуточная 
Урулюнгуй;50.27;118.11;94590;94-009;Харанор - Приаргунск;Забайкальский край;Краснокаменский район;Забайкальская;Борзинский регион;;
Урулюнгуй;50.27;118.11;94590;94-010;Урулюнгуй - Краснокаменск;Забайкальский край;Краснокаменский район;Забайкальская;Борзинский регион;4;промежуточная 
Уруша;54.05;122.88;95130;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;2;участковая 
Урюм;53.17;118.11;95040;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Могочинский регион;4;промежуточная 
Усково ;50.97;142.67;99751;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Уссурийск;43.80;131.98;98830;96-036;Уссурийск - Барановский;Приморский край;ГО Уссурийск;Дальневосточная;Владивостокский;;
Уссурийск;43.80;131.98;98830;96-037;Уссурийск - Воздвиженский;Приморский край;ГО Уссурийск;Дальневосточная;Владивостокский;;
Усть-Орочи;49.35;140.05;96720;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Усть-Пёра;51.45;128.13;95350;94-004;Бамовская - Белогорск;Амурская область;Свободненский район;Забайкальская;Свободненский регион;4;грузовая 
Утиный;48.64;134.60;96381;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Утулик;51.54;104.06;93375;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Слюдянский район;Восточно-Сибирская;Улан-Удэнский;5;обгонный пункт
Учитель;51.96;107.50;93533;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;;
Учугей;55.08;127.27;91231;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Ушман;50.41;132.27;91751;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Ушумун;52.79;126.54;95290;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;3;участковая 
Февральск;52.46;130.85;91610;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Федосеев;54.94;124.52;91022;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Филаретовка;45.56;133.50;97360;96-024;Хабаровск I - Сибирцево;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Фирсово;47.65;142.57;99243;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Форель;49.09;135.15;96402;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Фридман;43.22;132.98;98371;96-053;Смоляниново - Пост 132 км;Приморский край;Партизанский район;Дальневосточная;Владивостокский;;
Хабаровск 1;48.50;135.07;97040;96-023;Дежневка - Хабаровск 1;Хабаровский край;ГО Хабаровск;Дальневосточная;Хабаровский;0;внеклассная 
Хабаровск 1;48.50;135.07;97040;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;ГО Хабаровск;Дальневосточная;Хабаровский;0;внеклассная 
Хабаровск 2;48.43;135.13;97000;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;ГО Хабаровск;Дальневосточная;Хабаровский;0;внеклассная 
Хадабулак;50.65;116.30;94451;94-006;Карымская - Борзя;Забайкальский край;Оловяннинский район;Забайкальская;Борзинский регион;5;разъезд
Хака;47.84;134.94;97151;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Район имени Лазо;Дальневосточная;Хабаровский;;
Халкидон;44.27;132.45;97471;96-024;Хабаровск I - Сибирцево;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Хальгасо;50.70;136.90;91980;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Хани;56.91;119.92;90460;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Харагун;51.55;111.18;94120;92-001;Тайшет - Иркутск-Пассажирский;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;;
Харагун;51.55;111.18;94120;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;4;промежуточная 
Харанор;50.12;116.69;94540;94-007;Борзя - Забайкальск;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;;
Харанор;50.12;116.69;94540;94-009;Харанор - Приаргунск;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;5;промежуточная 
Харанхой;50.48;106.15;93680;92-009;Заудинский - Наушки;Республика Бурятия;Кяхтинский район;Восточно-Сибирская;Улан-Удэнский;2;промежуточная
Харпичан;51.27;136.54;91930;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Хасан;42.43;130.64;98700;96-045;Гвоздево - Хасан;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Хевчен;49.72;135.76;96460;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Хилок;51.36;110.45;94090;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;2;участковая 
Хмыловский (рзд);42.83;133.03;98520;96-057;Находка - Восточный Порт;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Хокайти;50.11;139.45;96651;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Холбон;51.90;116.24;94805;94-002;Карымская - Куэнга;Забайкальский край;Шилкинский район;Забайкальская;Читинский регион;4;обгонный пункт
Холмск ;47.05;142.04;99330;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Холмск ;47.05;142.04;99330;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Холодный;55.89;109.79;90332;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Холони;50.91;136.87;91965;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Хор;47.89;134.96;97150;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Район имени Лазо;Дальневосточная;Хабаровский;;
Хорогочи;55.37;123.76;90481;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Хорольск;44.45;132.11;97520;96-031;Сибирцево - Платоновка;Приморский край;Хорольский район;Дальневосточная;Владивостокский;;
Хохотуй;51.29;109.57;94060;94-001;Петровский Завод - Карымская;Забайкальский край;Петровск-Забайкальский район;Забайкальская;Читинский регион;4;промежуточная 
Христофоровка ;46.87;142.74;99060;96-062;Корсаков-Южно-Сахалинск; Сахалинская область;ГО Южно-Сахалинск ;Дальневосточная;Сахалинский;;
Хужир;50.57;106.19;93672;92-009;Заудинский - Наушки;Республика Бурятия;Джидинский район;Восточно-Сибирская;Улан-Удэнский;;разъезд
Хумма;50.29;138.02;96615;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Хурба;50.41;136.87;96562;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Хурмули;51.01;136.90;91960;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Хуту;49.50;139.99;96712;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Хушенга;51.44;110.93;94110;94-001;Петровский Завод - Карымская;Забайкальский край;Хилокский район;Забайкальская;Читинский регион;4;промежуточная 
Цапко;48.10;142.51;99511;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Чайка;43.20;131.98;98182;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Чалганы;52.95;126.43;95280;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;4;промежуточная 
Чебангда;51.21;132.44;91692;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Чегдомын;51.13;132.95;91720;96-009;Ургал-1 - Чегдомын;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Челутай;51.76;108.39;93790;92-005;Заудинский - Петровский Завод;Республика Бурятия;Заиграевский район;Восточно-Сибирская;Улан-Удэнский;1;грузовая 
Чемчуко;51.06;132.91;91731;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Чепсары;49.32;140.17;96732;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Червинка;52.57;130.74;91614;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Черновская;51.97;113.23;94200;94-001;Петровский Завод - Карымская;Забайкальский край;Черновский район;Забайкальская;Читинский регион;4;промежуточная 
Черные пески;47.37;142.00;99433;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Чернышевка;44.21;133.15;97610;96-030;Сибирцево - Новочугуевка;Приморский край;Анучинский район;Дальневосточная;Владивостокский;;
Чернышевск-Забайкальский;52.52;117.02;94910;94-003;Куэнга - Бамовская;Забайкальский край;ГО Чернышевск;Забайкальская;Читинский регион;;
Чернышевск-Забайкальский;52.52;117.02;94910;94-016;Чернышевск-Забайкальский - Букчача;Забайкальский край;ГО Чернышевск;Забайкальская;Читинский регион;2;участковая 
Чехов-Сахалинский;47.45;141.97;99440;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Чильчи;56.01;122.41;90870;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Чита-1;52.04;113.46;94000;94-001;Петровский Завод - Карымская;Забайкальский край;ГО Чита;Забайкальская;Читинский регион;1;грузовая 
Чита-2;52.03;113.49;94001;94-001;Петровский Завод - Карымская;Забайкальский край;ГО Чита;Забайкальская;Читинский регион;1;грузовая 
Читкан;54.03;123.13;95142;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;3;железнодорожная 
Чичатка;54.04;121.30;95114;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;5;обгонный пункт
Чуро;56.20;112.57;90381;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Шалуты;51.61;107.39;93560;92-009;Заудинский - Наушки;Республика Бурятия;Тарбагатайский район;Восточно-Сибирская;Улан-Удэнский;5;промежуточная
Шахта-Сахалинская ;46.55;141.85;99270;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Невельский ;Дальневосточная;Сахалинский;;
Шахтаум;55.16;124.89;91080;96-003;Тында - Бестужево;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Шахтерская;50.58;116.35;94460;94-006;Карымская - Борзя;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;2;грузовая 
Шерловая;50.52;116.39;94461;94-006;Карымская - Борзя;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;5;разъезд
Шиверы;56.21;115.69;90652;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Шилка;51.86;116.05;94791;94-002;Карымская - Куэнга;Забайкальский край;ГО Шилка;Забайкальская;Читинский регион;2;обгонный пункт
Шилка-товарная;51.85;116.01;94790;94-002;Карымская - Куэнга;Забайкальский край;Шилкинский район;Забайкальская;Читинский регион;2;участковая 
Шимановская;52.00;127.68;95320;94-004;Бамовская - Белогорск;Амурская область;ГО Шимановск;Забайкальская;Свободненский регион;3;участковая 
Шкотово;43.32;132.35;98270;96-052;Угловая - Смоляниново;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Шмаковка;45.13;133.31;97390;96-024;Хабаровск I - Сибирцево;Приморский край;Кировский район;Дальневосточная;Владивостокский;;
Штурм;54.24;123.76;91070;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Шугара;51.37;131.95;91672;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Эанга;51.32;134.85;91871;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Эбгунь;51.55;135.48;91882;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Эбергард;46.04;133.78;97272;96-028;Эбергард - Лазо;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Эбергард;46.04;133.78;97272;96-024;Хабаровск I - Сибирцево;Приморский край;Дальнереченский район;Дальневосточная;Владивостокский;;
Эворон;51.40;136.34;91920;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Эльбан;50.09;136.50;96510;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Комсомольский ;;
Эльга;50.84;132.31;91740;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Эльга;50.84;132.31;91740;96-000;Верхний Улак-Эльга;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
